MMWR Week,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Multiple Races,Native Hawaiian or Other Pacific Islander,Other Race,White
08-May-22,0,0,40,0,0,0,0,60
15-May-22,0,12.5,6.25,25,0,0,0,56.25
22-May-22,0,5.263,5.263,36.842,0,0,5.263,47.368
29-May-22,0,6.25,14.583,27.083,0,2.083,0,50
05-June-22,0,3.191,15.957,31.915,0,1.064,2.128,45.745
12-June-22,0,4.712,14.66,27.225,1.571,0,3.141,48.691
19-June-22,0.301,3.012,16.867,29.819,0.602,0.602,0,48.795
26-June-22,0.295,4.713,21.502,32.842,0.442,0,3.093,37.113
03-July-22,0.165,3.383,25.743,32.096,0.578,0.248,2.475,35.314
10-July-22,0.427,3.362,29.723,28.922,0.427,0.16,2.508,34.472
17-July-22,0.222,2.885,30.093,29.206,0.71,0.222,3.151,33.511
24-July-22,0.184,2.721,32.096,32.426,0.515,0.11,2.096,29.853
31-July-22,0.534,3.139,32.755,32.454,0.401,0.234,2.404,28.08
07-August-22,0.552,2.357,34.401,33.407,0.479,0.221,2.136,26.446
14-August-22,0.289,2.561,36.555,32.301,0.537,0.413,3.139,24.205
21-August-22,0.458,2.699,36.864,30.448,0.713,0.102,1.935,26.782
28-August-22,0.364,2.368,36.248,31.208,0.607,0.486,2.125,26.594
04-September-22,0.81,2.209,38.807,29.897,0.442,0.295,2.283,25.258
11-September-22,0.466,1.584,38.024,31.034,0.746,0.373,3.075,24.697
18-September-22,0.119,2.029,34.606,29.833,1.193,0.239,3.461,28.52
25-September-22,0.59,2.655,36.873,31.121,0.737,0.147,2.065,25.811
02-October-22,0.562,3.371,34.082,35.581,0.562,0.375,3.184,22.285
09-October-22,0.879,1.978,38.681,31.429,1.099,0.22,2.198,23.516
16-October-22,0.307,0.92,35.89,34.663,0.92,0,4.294,23.006
23-October-22,0.375,3.745,32.21,27.341,1.498,0,2.996,31.835
30-October-22,0.437,2.62,31.441,28.821,1.31,0,3.057,32.314
06-November-22,0,2.326,40.116,20.93,0.581,0,4.651,31.395
13-November-22,0,5.755,29.496,28.058,0,0,2.878,33.813
20-November-22,0,1.266,35.443,17.722,1.266,0,5.063,39.241
27-November-22,0,4,42,20,0,0,2,32
04-December-22,0,0,55.172,17.241,3.448,0,3.448,20.69